from,to,dist
Albacete,Cantabria,516.5184877438181
Albacete,Castellón/Castelló,202.55698859255514
Albacete,Ceuta,449.1176343560871
Albacete,Ciudad Real,161.21838797046928
Albacete,Cuenca,119.6079261352203
Albacete,Cáceres,374.575782254295
Albacete,Cádiz,420.78488733063745
Albacete,Córdoba,268.84422685564385
Albacete,Girona,535.1273532132248
Albacete,Granada,231.06006188872726
Albacete,Guadalajara,225.28398865881977
Albacete,Guipúzcoa,474.25586570111557
Albacete,Huelva,448.46529324958175
Albacete,Huesca,397.1224896775938
Albacete,Illes Balears,424.24270001909275
Albacete,Jaén,168.95698197480243
Albacete,La Rioja,388.8776977979838
Albacete,León,520.8907271653172
Albacete,Lleida,415.39797393651577
Albacete,Lugo,655.9349743416293
Albacete,Madrid,239.52953838727746
Albacete,Melilla,409.9350780921847
Albacete,Murcia,112.07577897479241
Albacete,Málaga,335.4102740916116
Albacete,Navarra,424.18099399399676
Albacete,Ourense,616.4169813650426
Albacete,Palencia,440.94046215918155
Albacete,Pontevedra,682.8866672904047
Albacete,Salamanca,405.9030015051218
Albacete,Segovia,314.25856838407987
Albacete,Sevilla,372.4483067782096
Albacete,Soria,314.21105396656515
Albacete,Tarragona,352.47872146219356
Albacete,Teruel,219.5628554953237
Albacete,Toledo,230.79494078552918
Albacete,Valencia/València,126.2782866965299
Albacete,Valladolid,394.4586471633058
Albacete,Vizcaya,493.40742026327234
Albacete,Zamora,460.52761907209856
Albacete,Zaragoza,302.15728322966766
Albacete,Álava,436.3383170766953
Albacete,Ávila,326.35771831267454
Alicante/Alacant,A Coruña,846.2121629642453
Alicante/Alacant,Albacete,133.16794527952538
Alicante/Alacant,Alicante/Alacant,0.0
Alicante/Alacant,Almería,232.6620098678711
Alicante/Alacant,Asturias,708.8282679157071
Alicante/Alacant,Badajoz,496.5140678059612
Alicante/Alacant,Barcelona,407.5500712701179
Alicante/Alacant,Burgos,491.34244145971945
Alicante/Alacant,Cantabria,602.7758443693765
Alicante/Alacant,Castellón/Castelló,179.98545605118463
Alicante/Alacant,Ceuta,522.8157108652301
Alicante/Alacant,Ciudad Real,292.04452861612907
Alicante/Alacant,Cuenca,218.24071018148535
Alicante/Alacant,Cáceres,507.71914501973936
Alicante/Alacant,Cádiz,512.9911608362811
Alicante/Alacant,Córdoba,381.33014301059706
Alicante/Alacant,Girona,482.97955529000626
Alicante/Alacant,Granada,301.8575131435283
Alicante/Alacant,Guadalajara,319.01813965547336
Alicante/Alacant,Guipúzcoa,532.5532301313582
Alicante/Alacant,Huelva,564.8216163766876
Alicante/Alacant,Huesca,403.94626839255034
Alicante/Alacant,Illes Balears,314.3969657958943
Alicante/Alacant,Jaén,271.27371722344895
Alicante/Alacant,La Rioja,461.08917532769374
Alicante/Alacant,León,633.4923118660324
Alicante/Alacant,Lleida,391.9305515099389
Alicante/Alacant,Lugo,773.7349531707551
Alicante/Alacant,Madrid,357.23324843642746
Alicante/Alacant,Melilla,423.98665224971626
Alicante/Alacant,Murcia,98.40671938021761
Alicante/Alacant,Málaga,418.8902550293783
Alicante/Alacant,Navarra,475.14000524653153
Alicante/Alacant,Ourense,741.1208961608029
Alicante/Alacant,Palencia,544.3003685972175
Alicante/Alacant,Pontevedra,809.0340950917657
Alicante/Alacant,Salamanca,534.9091506281003
Alicante/Alacant,Segovia,425.9335888610772
Alicante/Alacant,Sevilla,480.54667825369813
